time,Exact solution
0.0,1.0
0.1,1.005012520859401
0.2,1.0202013400267558
0.30000000000000004,1.046027859908717
0.4,1.0832870676749586
0.5,1.1331484530668263
0.6000000000000001,1.1972173631218102
0.7000000000000001,1.2776213132048866
0.8,1.3771277643359572
0.9,1.499302500056767
1.0,1.6487212707001282
1.1,1.8312522088857734
1.2000000000000002,2.054433210643888
1.3,2.327977814570235
1.4000000000000001,2.6644562419294178
1.5,3.080216848918031
1.6,3.5966397255692826
1.7000000000000002,4.241852142820436
1.8,5.053090316563868
1.9000000000000001,6.0799714485203395
2.0,7.38905609893065
